X0	Y0	Rel_dens
0.5	0.7	-4.174328556552613e8
0.5	0.8	-5.2046228748880196e8
0.5	0.9	-5.602541520358505e8
0.5	1.0	-6.879218836474304e8
0.5	1.1	-6.434622364370713e8
0.5	1.2	-7.121853321408873e8
0.5	1.3	-6.915541528712435e8
0.5	1.4	-7.216183689678535e8
0.5	1.5	-8.113967503999882e8
0.5	1.6	-8.27129712907628e8
0.5	1.7	-8.442614734222832e8
0.5	1.8	-8.542676124855261e8
0.5	1.9	-8.597111664738493e8
0.5	2.0	-8.527128405661812e8
0.5	2.1	-8.585317642137146e8
0.5	2.2	-8.62269386716425e8
0.5	2.3	-8.641056928154087e8
0.5	2.4	-8.534841805007591e8
0.5	2.5	-8.580113004877548e8
0.5	2.6	-8.611288416984329e8
0.5	2.7	-8.628321238823013e8
0.5	2.8	-8.63108552606144e8
0.5	2.9	-8.539880521148357e8
0.5	3.0	-8.575408191304607e8
0.5	3.1	-8.598920014438496e8
0.5	3.2	-8.610123377390366e8
0.5	3.3	-8.479053881226654e8
0.5	3.4	-8.522369294254913e8
0.5	3.5	-8.555260920312958e8
0.5	3.6	-8.577418513186588e8
0.5	3.7	-8.588560040982876e8
0.5	3.8	-8.441498056405544e8
0.5	3.9	-8.486096213355961e8
0.5	4.0	-8.5215333666535e8
0.5	4.1	-8.547534416886292e8
0.5	4.2	-8.563844457505016e8
0.5	4.3	-8.570235875562172e8
0.5	4.4	-8.433646566135082e8
0.5	4.5	-8.47442919942606e8
0.5	4.6	-8.506985672288475e8
0.5	4.7	-8.531087245422192e8
0.5	4.8	-8.546524482943974e8
0.5	4.9	-8.553115616427097e8
0.5	5.0	-8.407123602214794e8
0.5	5.1	-8.447815553964252e8
0.5	5.2	-8.481223290841789e8
0.5	5.3	-8.507151163248215e8
0.5	5.4	-8.525428672376404e8
0.5	5.5	-8.535896730095463e8
0.5	5.6	-8.538421359913902e8
0.5	5.7	-8.404273267824631e8
0.5	5.8	-8.441237014437428e8
0.5	5.9	-8.471675446535473e8
0.5	6.0	-8.495439423220806e8
0.5	6.1	-8.51239180763277e8
0.5	6.2	-8.522411903849201e8
0.5	6.3	-8.525392885496521e8
0.5	6.4	-8.367997118364716e8
0.5	6.5	-8.406105618942928e8
0.5	6.6	-8.438612717624245e8
0.5	6.7	-8.465398381341648e8
0.5	6.8	-8.486351686609726e8
0.5	6.9	-8.501372716759567e8
0.5	7.0	-8.510371504283314e8
0.5	7.1	-8.513269047741947e8
0.5	7.2	-8.344814651053104e8
0.5	7.3	-8.382006705780544e8
0.5	7.4	-8.414376539246883e8
0.5	7.5	-8.441835002650566e8
